table_catalog,table_schema,table_name,column_name,data_type,column_description
friday-vibe,public_data_lib,ipl_ball_by_ball,match_id,INT64,Unique identifier for the match. (Value range: 335982.0 → 1485779.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,season,STRING,"The Indian Premier League (IPL) season. (Sample distinct values: 2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017; distinct count ≈ 18)"
friday-vibe,public_data_lib,ipl_ball_by_ball,match_date,DATE,The date on which the match was played. (Value range: 2008-04-18 → 2025-06-03)
friday-vibe,public_data_lib,ipl_ball_by_ball,innings_number,INT64,The sequential number of the innings within the match. (Value range: 1.0 → 6.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,batting_team,STRING,"The name of the team currently batting. (Sample distinct values: Chennai Super Kings, Deccan Chargers, Delhi Capitals, Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kings XI Punjab, Kochi Tuskers Kerala, Kolkata Knight Riders, Lucknow Super Giants; distinct count ≈ 19)"
friday-vibe,public_data_lib,ipl_ball_by_ball,bowling_team,STRING,"The name of the team currently bowling. (Sample distinct values: Chennai Super Kings, Deccan Chargers, Delhi Capitals, Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kings XI Punjab, Kochi Tuskers Kerala, Kolkata Knight Riders, Lucknow Super Giants; distinct count ≈ 19)"
friday-vibe,public_data_lib,ipl_ball_by_ball,over_number,INT64,The current over number in the innings. (Value range: 1.0 → 20.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,ball_number,INT64,The sequential number of the ball within the current over. (Value range: 1.0 → 11.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,ball_id,STRING,"A unique identifier for each specific ball bowled in the match. (Sample distinct values: 1082591.1.0.1, 1082591.1.0.2, 1082591.1.0.3, 1082591.1.0.4, 1082591.1.0.5, 1082591.1.0.6, 1082591.1.0.7, 1082591.1.1.1, 1082591.1.1.2, 1082591.1.1.3; distinct count ≈ 278205)"
friday-vibe,public_data_lib,ipl_ball_by_ball,batter,STRING,"The name of the player currently batting. (Sample distinct values: A Ashish Reddy, A Badoni, A Chandila, A Chopra, A Choudhary, A Dananjaya, A Flintoff, A Kamboj, A Kumble, A Manohar; distinct count ≈ 703)"
friday-vibe,public_data_lib,ipl_ball_by_ball,batter_id,STRING,"Unique identifier for the player currently batting. (Sample distinct values: 00ea847a, 0184dc35, 025c4400, 0264c10e, 030f3089, 034b4b7d, 03806cf8, 03a83c50, 0404d43c, 0494fa6e; distinct count ≈ 702)"
friday-vibe,public_data_lib,ipl_ball_by_ball,bowler,STRING,"The name of the player currently bowling. (Sample distinct values: A Ashish Reddy, A Badoni, A Chandila, A Choudhary, A Dananjaya, A Flintoff, A Kamboj, A Kumble, A Mishra, A Mithun; distinct count ≈ 550)"
friday-vibe,public_data_lib,ipl_ball_by_ball,bowler_id,STRING,"Unique identifier for the player currently bowling. (Sample distinct values: 012829ff, 0164b064, 025c4400, 0264c10e, 030f3089, 034b4b7d, 03806cf8, 03a83c50, 04a418e8, 05c2ca46; distinct count ≈ 549)"
