table_catalog,table_schema,table_name,column_name,data_type,column_description
friday-vibe,public_data_lib,ipl_matches,match_id,INT64,Unique identifier for each match. (Value range: 335982.0 → 1485779.0)
friday-vibe,public_data_lib,ipl_matches,date_start,DATE,The start date of the match. (Value range: 2008-04-18 → 2025-06-03)
friday-vibe,public_data_lib,ipl_matches,date_end,DATE,The end date of the match. (Value range: 2008-04-18 → 2025-06-03)
friday-vibe,public_data_lib,ipl_matches,season,STRING,"The IPL season in which the match was played. (Sample distinct values: 2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017; distinct count ≈ 18)"
friday-vibe,public_data_lib,ipl_matches,city,STRING,"The city where the match was held. (Sample distinct values: Abu Dhabi, Ahmedabad, Bangalore, Bengaluru, Bloemfontein, Cape Town, Centurion, Chandigarh, Chennai, Cuttack; distinct count ≈ 37)"
friday-vibe,public_data_lib,ipl_matches,venue,STRING,"The specific stadium or venue where the match took place. (Sample distinct values: Arun Jaitley Stadium, Arun Jaitley Stadium, Delhi, Barabati Stadium, Barsapara Cricket Stadium, Guwahati, Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow, Brabourne Stadium, Brabourne Stadium, Mumbai, Buffalo Park, De Beers Diamond Oval, Dr DY Patil Sports Academy; distinct count ≈ 59)"
friday-vibe,public_data_lib,ipl_matches,match_type,STRING,"The format of the cricket match (e.g., T20). (Sample distinct values: T20; distinct count ≈ 1)"
friday-vibe,public_data_lib,ipl_matches,gender,STRING,The gender category of the players participating in the match. (Sample distinct values: male; distinct count ≈ 1)
friday-vibe,public_data_lib,ipl_matches,overs_limit,INT64,The maximum number of overs allowed per innings in the match. (Value range: 20.0 → 20.0)
friday-vibe,public_data_lib,ipl_matches,team_a,STRING,"The name of the first team participating in the match. (Sample distinct values: Chennai Super Kings, Deccan Chargers, Delhi Capitals, Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kings XI Punjab, Kochi Tuskers Kerala, Kolkata Knight Riders, Lucknow Super Giants; distinct count ≈ 19)"
friday-vibe,public_data_lib,ipl_matches,team_b,STRING,"The name of the second team participating in the match. (Sample distinct values: Chennai Super Kings, Deccan Chargers, Delhi Capitals, Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kings XI Punjab, Kochi Tuskers Kerala, Kolkata Knight Riders, Lucknow Super Giants; distinct count ≈ 19)"
friday-vibe,public_data_lib,ipl_matches,event_name,STRING,"The name of the cricket event or tournament (e.g., Indian Premier League). (Sample distinct values: Indian Premier League; distinct count ≈ 1)"
friday-vibe,public_data_lib,ipl_matches,event_stage,STRING,"The stage of the tournament the match represents (e.g., Final, Qualifier). (Sample distinct values: 3rd Place Play-Off, Elimination Final, Eliminator, Final, Qualifier 1, Qualifier 2, Semi Final; distinct count ≈ 7)"
friday-vibe,public_data_lib,ipl_matches,toss_winner,STRING,"The team that won the coin toss. (Sample distinct values: Chennai Super Kings, Deccan Chargers, Delhi Capitals, Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kings XI Punjab, Kochi Tuskers Kerala, Kolkata Knight Riders, Lucknow Super Giants; distinct count ≈ 19)"
friday-vibe,public_data_lib,ipl_matches,toss_decision,STRING,"The decision made by the toss-winning team (bat or field). (Sample distinct values: bat, field; distinct count ≈ 2)"
friday-vibe,public_data_lib,ipl_matches,winner,STRING,"The team that won the match. (Sample distinct values: Chennai Super Kings, Deccan Chargers, Delhi Capitals, Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kings XI Punjab, Kochi Tuskers Kerala, Kolkata Knight Riders, Lucknow Super Giants; distinct count ≈ 19)"
friday-vibe,public_data_lib,ipl_matches,win_by_runs,INT64,"The number of runs by which the winning team won, if they batted first. (Value range: 1.0 → 146.0)"
friday-vibe,public_data_lib,ipl_matches,win_by_wickets,INT64,"The number of wickets by which the winning team won, if they chased a target. (Value range: 1.0 → 10.0)"
friday-vibe,public_data_lib,ipl_matches,result_type,STRING,"The type of match result (e.g., normal, tie, no result). (Sample distinct values: no result, normal, tie; distinct count ≈ 3)"
friday-vibe,public_data_lib,ipl_matches,method,STRING,"Indicates if a specific method, like Duckworth-Lewis (D/L), was used to determine the result. (Sample distinct values: D/L; distinct count ≈ 1)"
friday-vibe,public_data_lib,ipl_matches,eliminator,STRING,"Indicates a team involved in an eliminator match, typically in playoffs. (Sample distinct values: Delhi Capitals, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad; distinct count ≈ 7)"
friday-vibe,public_data_lib,ipl_matches,player_of_match,STRING,"The name of the player awarded 'Player of the Match'. (Sample distinct values: A Chandila, A Kumble, A Manohar, A Mishra, A Nehra, A Nortje, A Singh, A Symonds, A Zampa, AA Jhunjhunwala; distinct count ≈ 308)"
friday-vibe,public_data_lib,ipl_matches,player_of_match_id,STRING,"A unique identifier for the 'Player of the Match'. (Sample distinct values: 00ea847a, 0184dc35, 03806cf8, 04a418e8, 0890552f, 0a3d54b9, 0a476045, 0a509d6b, 0a8fce53, 0c2730df; distinct count ≈ 308)"
